id : 고유번호
Area : 대생활권
UseDistrict : 용도지역
Option : 풀옵션여부
FAR : 용적률(%)
Price : ㎡당평균전용임대가(천원)

id,Area,UseDistrict,Option,FAR,Price
apt01,도심권,제2종 일반주거지역,풀옵션형,132.72,515.0519492
apt02,도심권,제2종 일반주거지역,풀옵션형,184.99,499.5004995
apt03,도심권,상업지역,기본형,308.81,364.3195349
apt04,도심권,상업지역,풀옵션형,493.08,410.9455297
apt05,도심권,준주거지역,기본형,349.65,616.9759862
apt06,도심권,제3종 일반주거지역,풀옵션형,248.9728,469.1517971
apt07,도심권,제3종 일반주거지역,풀옵션형,227.2,576.4762615
apt08,도심권,상업지역,풀옵션형,254.37,355.8718861
apt09,동북권,제2종 일반주거지역,기본형,199.93,423.8123398
apt10,동북권,제2종 일반주거지역,풀옵션형,198.13,518.3137526
apt11,동북권,제2종 일반주거지역,풀옵션형,199.34,615.7635468
apt12,동북권,제3종 일반주거지역,풀옵션형,195.22,455.0302169
apt13,동북권,제2종 일반주거지역,기본형,199.5,460.6879607
apt14,동북권,준공업지역,풀옵션형,219.16,512.4777184
apt15,동북권,제2종 일반주거지역,풀옵션형,192.39,483.7566204
apt16,동북권,제2종 일반주거지역,기본형,198.94,489.1620599
apt17,동북권,제2종 일반주거지역,기본형,178.38,370.4786975
apt18,동북권,제2종 일반주거지역,풀옵션형,199.8,383.4406746
apt19,동북권,제2종 일반주거지역,풀옵션형,169.38,443.8932045
apt20,동북권,제3종 일반주거지역,풀옵션형,221.57,411.5629593
apt21,동북권,제2종 일반주거지역,풀옵션형,198.73,161.7276468
apt22,동북권,제2종 일반주거지역,기본형,184.83,309.3421324
apt23,동북권,제2종 일반주거지역,풀옵션형,199.87,310.5057298
apt24,동북권,제2종 일반주거지역,기본형,166.71,293.1051441
apt25,동북권,제2종 일반주거지역,풀옵션형,199.85,136.7989056
apt26,동북권,제2종 일반주거지역,풀옵션형,199.85,128.9930951
apt27,동북권,제2종 일반주거지역,풀옵션형,199.92,123.4567901
apt28,동북권,제2종 일반주거지역,풀옵션형,199.82,123.9669421
apt29,동북권,제2종 일반주거지역,풀옵션형,188.82,327.6417783
apt30,동북권,제3종 일반주거지역,풀옵션형,194.04,288.2945467
apt31,동북권,제2종 일반주거지역,풀옵션형,175.9,336.0215054
apt32,동북권,제2종 일반주거지역,기본형,198.76,324.9390739
apt33,동북권,제3종 일반주거지역,풀옵션형,248.51,424.8457221
apt34,동북권,제2종 일반주거지역,기본형,192.88,454.7231998
apt35,동북권,제2종 일반주거지역,기본형,199.49,305.4537376
apt36,동북권,제2종 일반주거지역,풀옵션형,199.8,377.5635708
apt37,동북권,제2종 일반주거지역,풀옵션형,190.53,391.4384435
apt38,동북권,제2종 일반주거지역,풀옵션형,199.19,431.098558
apt39,동북권,제2종 일반주거지역,풀옵션형,199.71,395.438661
apt40,동북권,제2종 일반주거지역,풀옵션형,191.99,365.8414353
apt41,동북권,제2종 일반주거지역,풀옵션형,181.2,379.6234546
apt42,동북권,제2종 일반주거지역,기본형,199.43,318.0189197
apt43,동북권,제2종 일반주거지역,기본형,199.36,260.639015
apt44,동북권,제2종 일반주거지역,풀옵션형,199.83,325.4354146
apt45,동북권,제1종 일반주거지역,풀옵션형,193.32,251.8060572
apt46,동북권,제3종 일반주거지역,기본형,210.8,316.5617668
apt47,동북권,제3종 일반주거지역,풀옵션형,229.12,463.750749
apt48,동북권,제2종 일반주거지역,기본형,196.75,282.1857778
apt49,동북권,제2종 일반주거지역,풀옵션형,199.88,284.6617549
apt50,동북권,상업지역,풀옵션형,341.84,174.0506329
apt51,동북권,제2종 일반주거지역,풀옵션형,199.44,121.0165389
apt52,동북권,제2종 일반주거지역,기본형,199.85,261.9233776
apt53,동북권,제2종 일반주거지역,기본형,197.55,342.2676437
apt54,동북권,제3종 일반주거지역,기본형,249.69,248.465361
apt55,동북권,제3종 일반주거지역,풀옵션형,207.17,130.9780877
apt56,동북권,제3종 일반주거지역,풀옵션형,199.81,125.6211267
apt57,동북권,제2종 일반주거지역,풀옵션형,199.57,125.6515264
apt58,동북권,제2종 일반주거지역,기본형,199.91,328.6687906
apt59,동북권,제3종 일반주거지역,풀옵션형,245.79,131.2056435
apt60,동북권,준주거지역,풀옵션형,266.56,216.8431669
apt61,동북권,준주거지역,기본형,236.1,345.721694
apt62,동북권,제2종 일반주거지역,풀옵션형,199.93,154.3269046
apt63,동북권,제2종 일반주거지역,풀옵션형,184.31,157.6387724
apt64,동북권,제2종 일반주거지역,풀옵션형,199,121.5901882
apt65,동북권,제3종 일반주거지역,풀옵션형,244.47,168.115942
apt66,동북권,제2종 일반주거지역,풀옵션형,199.96,128.5104131
apt67,동북권,제2종 일반주거지역,풀옵션형,195.55,253.5222975
apt68,동북권,제2종 일반주거지역,풀옵션형,190.08,153.2033426
apt69,동북권,제2종 일반주거지역,풀옵션형,199.62,125.5755546
apt70,동북권,제2종 일반주거지역,풀옵션형,199.78,309.3089276
apt71,동북권,제2종 일반주거지역,풀옵션형,196.74,195.3990572
apt72,동북권,제2종 일반주거지역,풀옵션형,190,145.0643579
apt73,서북권,제2종 일반주거지역,풀옵션형,198.68,317.4173879
apt74,서북권,제2종 일반주거지역,풀옵션형,187.31,477.548692
apt75,서북권,제2종 일반주거지역,풀옵션형,196.47,475.1530242
apt76,서북권,제2종 일반주거지역,풀옵션형,199.42,424.8704663
apt77,서북권,제2종 일반주거지역,풀옵션형,193.42,321.1869243
apt78,서북권,제2종 일반주거지역,풀옵션형,147.73,395.1655904
apt79,서북권,제2종 일반주거지역,풀옵션형,191.9,363.8581157
apt80,서북권,제3종 일반주거지역,풀옵션형,186.92,531.0811839
apt81,서북권,제2종 일반주거지역,풀옵션형,110.42,352.6366872
apt82,서북권,제2종 일반주거지역,풀옵션형,199.79,335.9126895
apt83,서북권,제2종 일반주거지역,풀옵션형,199.76,344.3130319
apt84,서북권,제2종 일반주거지역,기본형,199.89,347.5757108
apt85,서북권,제2종 일반주거지역,기본형,198.89,330.168865
apt86,서북권,제2종 일반주거지역,풀옵션형,147.93,335.5777585
apt87,서북권,제2종 일반주거지역,풀옵션형,190.33,363.3657298
apt88,서북권,제2종 일반주거지역,풀옵션형,193.74,349.7668221
apt89,서북권,제2종 일반주거지역,풀옵션형,191.57,329.0760078
apt90,서북권,제3종 일반주거지역,풀옵션형,194.65,564.3396626
apt91,서북권,제2종 일반주거지역,풀옵션형,189.63,455.3961323
apt92,서북권,제2종 일반주거지역,풀옵션형,199.54,404.8598863
apt93,서북권,제2종 일반주거지역,풀옵션형,199.75,276.2990222
apt94,서북권,제2종 일반주거지역,풀옵션형,168.3,405.5136366
apt95,서북권,제2종 일반주거지역,풀옵션형,199.84,315.4868288
apt96,서북권,제2종 일반주거지역,풀옵션형,199.3,367.7921304
apt97,서북권,제2종 일반주거지역,풀옵션형,186.31,264.3221461
apt98,서북권,제2종 일반주거지역,기본형,196.09,259.3735982
apt99,서북권,제2종 일반주거지역,풀옵션형,159.01,392.0878089
apt100,서북권,제3종 일반주거지역,풀옵션형,185.37,411.6161616
apt101,서북권,제3종 일반주거지역,풀옵션형,177.25,442.2869471
apt102,서북권,제2종 일반주거지역,풀옵션형,198.18,395.8078417
apt103,서북권,제2종 일반주거지역,기본형,177.55,201.2921658
apt104,서북권,제2종 일반주거지역,기본형,198.07,254.7978153
apt105,서북권,제2종 일반주거지역,기본형,199.75,266.7907164
apt106,서북권,제3종 일반주거지역,기본형,182.4,285.898478
